deviceId,timestamp,ACC,BV,CR,GYR,LAT_LON,RPM_KM,Sl_No.,TEMP,TIME
VIM_2.4_3,1538238210059,"0.000,0.000,0.000","80,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4283,"26,25,27","243,237,243,244,-99"
VIM_2.4_3,1538238212700,"0.000,0.000,0.000","80,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4284,"26,25,27","237,243,243,237,-99"
VIM_2.4_3,1538238215296,"0.000,0.000,0.000","80,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4285,"26,25,27","243,244,237,243,243"
VIM_2.4_3,1538238218116,"0.000,0.000,0.000","80,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4286,"26,25,27","237,244,243,236,-99"
VIM_2.4_3,1538238220296,"0.000,0.000,0.000","80,100,3.970,3.970,3.970,3.970,3.960,3.970,3.970,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4287,"26,25,27","244,243,237,243,-99"
VIM_2.4_3,1538238223083,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4288,"26,25,27","244,237,243,243,237"
VIM_2.4_3,1538238225554,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4289,"26,25,27","243,244,237,243,-99"
VIM_2.4_3,1538238228238,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4290,"26,25,27","243,237,243,244,-99"
VIM_2.4_3,1538238230582,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4291,"26,25,27","236,243,244,236,244"
VIM_2.4_3,1538238233674,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4292,"26,25,27","243,237,243,243,-99"
VIM_2.4_3,1538238236056,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4293,"26,25,27","237,244,243,237,243"
VIM_2.4_3,1538238238719,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4294,"26,25,27","243,237,243,244,-99"
VIM_2.4_3,1538238241378,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4295,"26,25,27","236,243,244,236,-99"
VIM_2.4_3,1538238244017,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4296,"26,25,27","244,243,236,244,243"
VIM_2.4_3,1538238246842,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4297,"26,25,27","237,243,243,237,-99"
VIM_2.4_3,1538238249076,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4298,"26,25,27","243,243,237,243,-99"
VIM_2.4_3,1538238251614,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4299,"26,25,27","243,237,243,244,236"
VIM_2.4_3,1538238254282,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4300,"26,25,27","243,244,236,243,-99"
VIM_2.4_3,1538238256977,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4301,"26,25,27","244,236,244,243,237"
VIM_2.4_3,1538238259575,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4302,"26,25,27","243,244,236,244,-99"
VIM_2.4_3,1538238261814,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4303,"26,25,27","243,237,243,243,-99"
VIM_2.4_3,1538238264616,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4304,"26,25,27","237,243,244,237,243"
VIM_2.4_3,1538238267438,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4305,"26,25,27","244,237,242,244,-99"
VIM_2.4_3,1538238269937,"0.000,0.000,0.000","81,100,3.970,3.970,3.970,3.970,3.960,3.970,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4306,"26,25,27","237,243,243,237,243"
